name;alturaprod;diametroprod;hojasflorprod;nmanosprod;rindekgprod;altplan15;diamplan15;hojasflora15;nmanos15;rindekg15;altura17;diametro17;hojasflora17;nmanos17;rindekg17
14003;3.7;69;16;14;30;2.75;61;11;10;18.775;3.5;80;12;10;25.88
14020;3.3;66;12;8;28;2.8;70;14;12;21.405;2.8;60;10;9;23.04
14011;3.1;57;14;9;22;3.2;63;10;10;12.775;3.7;85;12;12;25.915
14092;3.6;70;13;11;38;2.95;68;12;11;8.23;3.7;90;12;13;32.22
14124;3.3;61;13;8;24;3.1;59;11;10;24.185;3.6;80;11;11;23.443
14005;4.15;83;14;14;30;3.35;72;14;12;23.375;3.4;67;10;10;17.72
14034;3.5;76;10;10;28;3.5;67;11;12;10.555;3.6;77;11;12;34.935
14070;3.8;74;15;9;33;3.5;79;14;12;32.285;3.5;63;10;7;22.295
14033;3.3;72;14;13;32;3.05;68;11;10;20.628;2.9;70;13;8;11.26
14105;3.3;63;13;9;22;3.25;63;12;10;10.805;3.5;75;11;11;18.905
14103;2.9;60;13;9;22;3.45;72;12;12;19.715;3.38;78;11;8;19.355
14050;3.4;76;14;12;27;3.1;68;11;11;21.125;3.6;83;11;10;31.956
14054;3.4;70;13;10;26;3.6;67;10;11;21.23;3.8;83;12;10;25.47
14068;4.5;72;16;10;37;3.2;65;10;11;17.64;3.7;74;10;10;29.165
14002;3.9;73;15;15;36;2.95;59;9;11;12.225;3.55;83;11;11;34.19
14029;3.4;65;12;9;18;2.7;61;10;10;17.615;3.1;78;10;11;27.762
14096;3.8;71;13;12;29;3.1;57;11;10;18.97;3.4;74;12;11;27.715
14025;3.5;69;13;9;23;3.3;69;12;10;24.21;3.5;78;11;11;27.715
14021;3.6;63;11;12;26;3.25;67;12;11;11.14;3.65;77;12;11;25.49
14022;3.2;63;12;9;25;3.15;59;13;11;16.375;3.6;79;13;11;28.348
14018;3.6;62;12;9;28;3;59;12;12;13.465;3.65;80;10;13;26.9
14127;3.4;73;12;11;35;2.7;52;9;8;10.96;3.35;81;11;13;26.945
14040;3.5;70;12;10;28;2.95;63;12;9;11.57;2.9;73;11;10;17.835
14082;3.1;63;10;10;27;3.4;64;11;12;20.325;3;70;11;10;28.55
14083;3.9;79;14;10;30;3.4;58;12;10;15.84;3.5;81;12;11;36.484
14004;3.8;77;9;12;27;3.55;58;13;10;16.325;3.6;74;9;10;29.135
14049;3.3;75;12;10;27;3.4;61;11;9;13.46;3;71;10;9;29.37
14109;3.4;64;10;9;27;2.95;58;13;10;16.155;3.6;80;11;10;28.72
14118;3.3;59;12;8;24;3.7;75;14;12;31.925;3.5;75;11;9;21.959
14023;3.9;69;10;9;23;2.85;58;12;9;9.96;3.6;80;12;11;31.485
14061;4.3;66;13;9;25;3.1;64;11;10;10.39;3.8;73;10;10;27.495
14095;3.4;69;14;12;29;3.7;68;12;11;26.345;3.3;76;12;9;28.996
14102;3.5;72;9;9;20;3.55;61;13;10;22.725;3.3;71;11;10;23.27
14112;3.4;66;10;9;25;3.55;68;13;10;19.645;3.5;79;11;12;24.46
14012;3.3;58;12;7;24;3.3;64;11;9;18.02;3.93;80;13;13;28.13
14057;3.8;76;14;12;31;3.6;55;10;10;20.125;3.5;83;10;12;19.644
14026;4;70;12;11;24;3.6;67;10;11;15.93;3.75;81;9;11;31.13
14043;3.3;74;14;12;30;2.75;53;10;10;9.81;3.6;73;10;12;29.8
14072;3.3;67;12;9;28;3.75;63;12;10;26.498;3.5;75;12;10;30.685
14017;3.2;62;14;8;26;3.5;68;13;12;14.95;3.5;85;12;11;29.45
14069;4.3;76;12;9;29;3.05;68;14;11;11.055;3.7;71;12;11;27.285
14134;4;62;13;10;30;3.55;56;10;10;130.765;3.7;92;13;12;32.78
14031;3.3;62;9;10;25;3.05;61;11;8;8.705;2.9;68;11;9;21.999
14120;3.2;59;9;7;19;3.3;58;10;9;16.225;3.1;75;11;9;34.1
14024;3.9;72;12;8;27;2.45;61;12;10;19.38;2.25;72;12;10;25.23
14121;3.1;57;12;7;23;3.35;59;11;10;10.43;3.5;78;12;12;29.555
14128;4.2;77;14;12;37;3.4;65;13;10;18.71;3.1;68;12;9;24.07
14045;3.5;76;12;12;26;2.95;59;9;9;8.9;3.3;75;11;10;29.249
14089;3.5;69;11;9;27;3.15;59;13;10;13.655;3.55;84;10;12;26.455
14041;3.6;73;14;12;25;2.55;49;12;9;19.255;3.5;82;10;12;27.505
14130;3.3;62;13;7;27;2.95;53;12;11;13.1;3.7;82;12;12;28.975
14094;3.1;59;10;8;27;3.7;67;12;10;21.685;3.5;79;11;10;30.105
14081;3.3;68;12;11;31;3.25;55;11;10;16.845;3.55;75;9;11;21.475
14113;3.2;59;12;8;24;3.45;68;12;11;23.5;3.7;78;12;11;33.8
14062;4.4;68;11;11;29;3.75;65;13;12;17.4;3.6;80;11;10;30.265
14058;3.8;82;13;12;33;2.58;53;9;9;4.615;3.6;78;12;10;25.865
14117;3.6;73;12;8;27;3.68;69;12;10;21.634;3.43;74;12;10;28.655
14010;3.8;78;12;11;37;3.85;73;13;12;20.1;3.3;76;11;11;28.155
14073;3.4;70;9;11;25;3.1;58;10;10;12.555;2.5;60;9;10;16.77
14009;3.9;77;16;14;34;3.9;69;12;14;8.05;3.6;84;11;11;22.93
14101;3.2;57;9;7;22;3.7;72;13;10;26.92;3.6;90;11;12;25.465
14037;3.4;75;14;12;30;2.9;62;13;12;16.75;3.4;87;11;10;30.474
14006;4.05;78;14;12;29;3.8;59;12;9;14.464;3.42;77;11;10;25.745
14013;3.1;52;12;12;26;2.75;64;13;10;14.78;3.4;69;10;10;21.08
14066;4.4;78;14;10;37;3.3;57;11;10;19.615;3.8;65;9;10;26.01
14007;4.4;85;16;14;38;3.65;59;11;12;11.315;2.7;59;13;7;27.189
14091;4.2;75;13;10;33;3.6;67;12;10;22.86;3.45;79;12;11;32.475
14098;4.1;78;15;13;33;3.55;67;12;12;24.415;3.65;82;12;12;36.845
14080;3.7;88;15;11;35;3.15;49;10;9;4.33;3.6;80;12;12;34.935
14135;3.2;61;11;10;37;3.7;68;14;12;25.355;3.6;80;10;11;33.55
14114;3.6;71;13;11;23;3.28;59;13;11;23.715;3.4;78;11;10;31.36
14036;3.7;78;12;12;26;2.45;51;11;9;9.025;3.3;75;11;11;16.235
14131;3.9;69;14;11;35;3.59;58;11;10;15.05;3.25;68;11;9;20.235
14111;3.3;63;12;8;24;3.35;48;10;9;7.71;3.3;68;9;9;19.025
14106;3.4;72;14;8;23;3.15;58;11;10;10.125;3.2;73;13;10;28.62
14110;3.5;72;13;12;27;3.35;61;13;11;23.58;3.5;78;12;10;26.191
14015;3.2;55;14;7;22;2.45;59;12;10;14.83;3.4;75;10;12;24.635
14123;3.3;5;11;7;19;3.25;63;13;12;20.18;3.45;81;12;10;36.66
14032;3.6;76;12;10;31;2.95;57;13;10;13.56;3.5;79;11;12;35.675
14030;3.3;66;11;7;15;2.8;61;11;10;18.93;3.4;75;10;10;19.285
14056;3.6;72;13;10;31;2.9;56;12;9;17.41;3.4;75;11;10;22.795
14084;3.5;76;12;12;29;3.45;60;13;12;17;3.5;75;11;10;27.907
14008;4.3;83;16;14;35;3.75;64;13;10;20.065;3.6;75;11;10;23.575
14039;4;87;14;12;28;3.05;54;10;9;8.915;3.35;74;10;10;28.45
14104;3.1;60;12;8;27;3.58;53;13;10;13.755;3.6;81;10;11;30.205
14051;3.8;78;14;14;30;3.45;64;12;9;19.48;3.6;81;10;12;35.96
14076;3.6;72;13;11;31;3.4;53;13;10;27.51;3.6;72;11;11;26.935
14107;3.1;60;13;9;26;3.35;61;11;10;21.475;3.5;79;12;10;25.995
14129;4.3;81;14;12;40;3.85;69;14;9;13.44;3.55;83;12;12;36.13
14097;3.1;65;11;9;24;3.1;52;12;10;8.96;3.5;80;12;12;31.445
14014;3.3;59;13;8;27;2.65;55;11;11;11.17;3.55;79;10;11;28.041
14074;3.5;70;14;9;25;3.2;75;12;9;27.81;3.2;75;12;9;27.81
14059;3.7;79;14;12;30;3.05;58;12;10;12.615;3.4;77;11;11;32.05
14016;3;61;12;8;30;2.3;48;11;8;9.055;3.4;82;11;11;33.59
14108;3.3;59;14;11;28;3.4;67;14;12;13.435;3.5;67;9;9;17.78
14116;3.2;54;11;8;21;3.4;67;12;11;20.9;3.7;73;11;9;20.585
14099;3.2;63;12;9;27;2.75;46;9;10;6.825;3.35;75;11;12;33.82
14078;3.9;81;13;12;26;3.35;62;13;10;20.57;3.35;74;11;11;27.265
14027;3.4;67;9;9;22;2.35;49;10;8;7.735;3.56;74;10;10;21.445
14038;3.9;80;14;12;32;3.45;59;11;8;14.432;3.25;72;9;10;24.07
14115;3.4;75;14;12;29;3.05;47;10;11;9.285;3.5;75;10;12;26.74
14140;3.1;55;12;8;28;3.55;67;13;11;13.72;3.5;80;13;12;33.745
14100;3.7;69;14;11;31;3.3;57;12;10;10.205;3.35;78;10;10;30.095
14067;3.3;63;13;10;29;3.15;64;12;9;13.4;3.3;69;11;8;18.66
14138;3;55;12;7;27;3.25;59;12;12;22.215;3;75;12;9;18.175
14053;3.5;70;14;12;27;2.25;44;10;8;7.155;3.5;65;10;9;19.61
14088;3.8;71;12;9;29;3.4;62;13;12;18.07;3.1;71;11;8;20.04
14064;3.9;68;13;10;27;2.95;61;12;9;28.835;3.45;67;10;9;27.21
14119;3.2;62;13;7;23;3.35;65;11;10;23.285;3.2;62;12;10;20.875
14137;3.2;60;14;11;28;3.75;68;13;11;19.58;3.25;72;10;10;28.163
14019;3.3;59;11;8;28;3.05;59;13;11;24.99;3.2;68;11;10;24.09
14133;3.3;60;11;6;32;3.85;78;14;11;25.867;3.1;64;12;10;32.89
14048;3.8;76;14;12;30;2.7;49;10;8;7.37;3.28;73;11;11;28.915
14090;3.3;64;11;8;31;2.45;53;12;8;6.04;3.3;67;12;10;21.085
14136;3.3;62;14;12;33;3.5;68;9;8;10.265;3.5;80;13;12;23.18
14035;3.8;76;14;9;27;2.85;56;10;10;6.785;3.6;72;10;11;16.205
14071;3.4;64;14;11;32;3.45;61;13;10;18.65;3.3;74;10;11;31.675
14060;3.6;83;13;12;30;3.4;63;12;9;17.725;3.38;72;10;10;26.27
14079;3.7;68;14;9;32;3.45;67;13;11;22;3.15;72;10;11;31.345
14001;4.1;76;16;14;34;2.65;57;13;9;12.93;3.05;69;12;8;25.04
14085;3.3;65;11;9;26;2.85;60;9;9;4.655;3.3;65;9;9;16.825
